tract_id,sd_id
0,8
1,8
2,8
3,8
4,12
5,11
6,12
7,12
8,13
9,13
10,13
11,13
12,13
13,13
14,9
15,9
16,9
17,8
18,29
19,30
20,30
21,30
22,30
23,30
24,30
25,30
26,30
27,31
28,31
29,31
30,30
31,29
32,29
33,29
34,29
35,29
36,8
37,8
38,8
39,8
40,8
41,8
42,12
43,12
44,12
45,12
46,13
47,13
48,13
49,13
50,13
51,13
52,9
53,11
54,8
55,9
56,9
57,29
58,29
59,29
60,30
61,29
62,29
63,29
64,29
65,29
66,29
67,29
68,29
69,29
70,31
71,31
72,10
73,8
74,8
75,8
76,11
77,11
78,12
79,12
80,11
81,12
82,12
83,13
84,13
85,14
86,12
87,13
88,14
89,14
90,14
91,14
92,8
93,8
94,9
95,13
96,8
97,11
98,10
99,10
100,10
101,13
102,10
103,30
104,31
105,31
106,10
107,9
108,9
109,9
110,8
111,8
112,8
113,8
114,8
115,12
116,12
117,12
118,12
119,12
120,12
121,9
122,9
123,9
124,10
125,11
126,9
127,9
128,9
129,12
130,13
131,13
132,8
133,8
134,8
135,8
136,8
137,12
138,12
139,12
140,12
141,12
142,12
143,12
144,10
145,9
146,9
147,9
148,9
149,9
150,12
151,12
152,12
153,13
154,12
155,12
156,12
157,11
158,11
159,11
160,12
161,12
162,12
163,12
164,9
165,11
166,10
167,10
168,12
169,11
170,11
171,10
172,12
173,12
174,12
175,13
176,12
177,12
178,12
179,11
180,11
181,11
182,11
183,11
184,11
185,11
186,12
187,12
188,12
189,12
190,12
191,10
192,10
193,9
194,10
195,10
196,13
197,12
198,12
199,12
200,11
201,13
202,13
203,11
204,11
205,11
206,11
207,11
208,11
209,11
210,12
211,12
212,12
213,12
214,10
215,10
216,10
217,10
218,10
219,11
220,12
221,11
222,11
223,11
224,11
225,11
226,11
227,11
228,11
229,11
230,11
231,11
232,10
233,10
234,10
235,10
236,10
237,10
238,10
239,10
240,8
241,10
242,10
243,10
244,10
245,10
246,10
247,10
248,11
249,10
250,10
251,10
252,10
253,12
254,11
255,14
256,14
257,14
258,11
259,11
260,13
261,11
262,10
263,10
264,10
265,10
266,10
267,10
268,11
269,11
270,11
271,12
272,8
273,11
274,9
275,14
276,12
277,13
278,8
279,8
280,8
281,12
282,12
283,10
284,10
285,10
286,8
287,8
288,13
289,13
290,13
291,13
292,11
293,9
294,9
295,9
296,9
297,9
298,9
299,9
300,30
301,0
302,14
303,8
304,13
305,12
306,14
307,11
308,12
309,12
310,12
311,12
312,12
313,12
314,13
315,11
316,11
317,11
318,12
319,10
320,11
321,10
322,10
323,8
324,10
325,10
326,31
327,30
328,30
329,29
330,31
331,31
332,31
333,31
334,30
335,31
336,31
337,31
338,31
339,30
340,14
