SAMPN,PERNO,APURP1,MODE,ARR_HR,XCORD,YCORD,INCOM,AGE
1033944,1,1.0,5.0,3,-122.47007,37.718091,6,43
1033944,1,33.0,1.0,9,-122.40375729999998,37.7752691,6,43
1033944,1,7.0,1.0,16,-122.47007,37.718091,6,43
1033944,1,37.0,5.0,18,-122.4788987,37.728114,6,43
1033944,1,27.0,5.0,20,-122.489673,37.733149,6,43
1033944,1,27.0,3.0,20,-122.48885,37.733944,6,43
1033944,1,27.0,5.0,21,-122.475682,37.726896,6,43
1033944,1,8.0,5.0,21,-122.47007,37.718091,6,43
1033944,1,37.0,5.0,21,-122.463333,37.7162859,6,43
1033944,1,1.0,5.0,23,-122.47007,37.718091,6,43
1041766,1,1.0,5.0,3,-122.414811,37.610585,10,43
1041766,1,22.0,5.0,8,-122.483695,37.754624,10,43
1041766,1,9.0,5.0,9,-122.4470998,37.7790199,10,43
1041766,1,22.0,5.0,18,-122.483695,37.754624,10,43
1041766,1,2.0,5.0,18,-122.414811,37.610585,10,43
1045607,1,1.0,5.0,3,-122.189451,37.7906644,4,57
1045607,1,9.0,5.0,7,-122.4107611,37.75957879999999,4,57
1045607,1,2.0,1.0,16,-122.189451,37.7906644,4,57
1047092,2,1.0,5.0,3,-122.281672,37.774988,7,51
1049908,1,1.0,5.0,3,-122.4181131,37.7865471,2,50
1049908,1,9.0,2.0,4,-122.4016528,37.7888576,2,50
1049908,1,1.0,2.0,13,-122.4181131,37.7865471,2,50
1049908,1,17.0,3.0,16,-122.42004409999998,37.7831107,2,50
1049908,1,1.0,3.0,18,-122.4181131,37.7865471,2,50
1051203,1,1.0,5.0,3,-122.417361,37.7772239,6,61
1051203,1,32.0,3.0,11,-122.4098152,37.7883044,6,61
1051203,1,1.0,3.0,12,-122.417361,37.7772239,6,61
1051203,1,27.0,1.0,17,-122.427806,37.768676,6,61
1051203,1,1.0,1.0,18,-122.417361,37.7772239,6,61
1051388,1,1.0,5.0,3,-122.4457731,37.76727929999999,7,49
1051388,1,22.0,5.0,8,-122.4561418,37.7888162,7,49
1051388,1,37.0,5.0,8,-122.4019627,37.7896798,7,49
1051388,1,27.0,3.0,8,-122.402151,37.7903831,7,49
1051388,1,36.0,3.0,9,-122.4019627,37.7896798,7,49
1051388,1,31.0,3.0,11,-122.4042803,37.7901888,7,49
1051388,1,31.0,1.0,13,-122.4503588,37.766462,7,49
1051388,1,27.0,3.0,13,-122.4465386,37.7671758,7,49
1051388,1,1.0,3.0,13,-122.4457731,37.76727929999999,7,49
1051388,2,1.0,5.0,3,-122.4457731,37.76727929999999,7,48
1051388,2,22.0,5.0,8,-122.4561418,37.7888162,7,48
1051388,2,9.0,5.0,8,-122.4019627,37.7896798,7,48
1051388,2,22.0,5.0,15,-122.4561418,37.7888162,7,48
1051388,2,1.0,5.0,15,-122.4457731,37.76727929999999,7,48
1051388,2,22.0,5.0,17,-122.4765876,37.7861324,7,48
1051388,2,26.0,5.0,17,-122.4773883,37.7654888,7,48
1051388,2,1.0,5.0,18,-122.4457731,37.76727929999999,7,48
1051388,2,25.0,5.0,18,-122.3995591,37.7970125,7,48
1051388,2,1.0,5.0,22,-122.4457731,37.76727929999999,7,48
1051388,3,1.0,5.0,3,-122.4457731,37.76727929999999,7,10
1051388,3,17.0,5.0,8,-122.4561418,37.7888162,7,10
1051388,3,5.0,5.0,15,-122.4457731,37.76727929999999,7,10
1051795,1,1.0,5.0,3,-122.48460459999998,37.7576385,4,54
1051795,1,31.0,5.0,11,-122.5292848,37.973154,4,54
1051795,1,27.0,5.0,12,-122.516457,37.969698,4,54
1051795,1,39.0,5.0,12,-122.524175,37.876468,4,54
1051795,1,34.0,5.0,13,-122.48810159999998,37.8606498,4,54
1051795,1,1.0,5.0,15,-122.48460459999998,37.7576385,4,54
1051795,2,1.0,5.0,3,-122.48460459999998,37.7576385,4,45
1051795,2,31.0,5.0,11,-122.5292848,37.973154,4,45
1051795,2,27.0,5.0,12,-122.516457,37.969698,4,45
1051795,2,30.0,5.0,12,-122.524175,37.876468,4,45
1051795,2,34.0,5.0,13,-122.48810159999998,37.8606498,4,45
1051795,2,22.0,5.0,15,-122.48460459999998,37.7576385,4,45
1051795,2,27.0,5.0,16,-122.488788,37.753953,4,45
1051795,2,1.0,5.0,16,-122.48460459999998,37.7576385,4,45
1051795,3,34.0,5.0,3,-122.33207079999998,47.6062095,4,13
1051795,4,1.0,5.0,3,-122.48460459999998,37.7576385,4,4
1051795,4,31.0,5.0,11,-122.5292848,37.973154,4,4
1051795,4,27.0,5.0,12,-122.516457,37.969698,4,4
1051795,4,30.0,5.0,12,-122.524175,37.876468,4,4
1051795,4,34.0,5.0,13,-122.48810159999998,37.8606498,4,4
1051795,4,1.0,5.0,15,-122.48460459999998,37.7576385,4,4
1064644,1,1.0,5.0,3,-122.485125,37.692202,7,42
1064644,1,9.0,5.0,8,-122.431254,37.790998,7,42
1064644,1,29.0,5.0,17,-122.484802,37.701103,7,42
1064644,1,1.0,5.0,18,-122.485125,37.692202,7,42
1064644,1,22.0,5.0,20,-122.4232881,37.6239252,7,42
1064644,1,22.0,5.0,20,-122.413568,37.62992979999999,7,42
1064644,1,31.0,5.0,21,-122.3995293,37.7447281,7,42
1064644,1,1.0,5.0,21,-122.485125,37.692202,7,42
1064644,2,1.0,5.0,3,-122.485125,37.692202,7,44
1064644,2,9.0,5.0,9,-122.4000351,37.6297569,7,44
1064644,2,37.0,5.0,20,-122.26277659999998,37.5078364,7,44
1064644,2,1.0,5.0,2,-122.485125,37.692202,7,44
1065904,2,1.0,5.0,3,-122.523748,37.904902,10,58
1065904,2,35.0,1.0,6,-122.4010577,37.7880221,10,58
1065904,2,9.0,3.0,8,-122.4005221,37.7903227,10,58
1065904,2,31.0,3.0,12,-122.4018519,37.7927527,10,58
1065904,2,9.0,3.0,12,-122.4005221,37.7903227,10,58
1065904,2,1.0,1.0,18,-122.523748,37.904902,10,58
1069723,1,1.0,5.0,3,-122.440516,37.778625,5,50
1069723,1,9.0,1.0,8,-122.4011702,37.7881031,5,50
1069723,1,1.0,1.0,17,-122.440516,37.778625,5,50
1069723,2,1.0,5.0,3,-122.440516,37.778625,5,57
1093539,1,1.0,5.0,3,-122.461224,37.763981,8,56
1093539,1,9.0,3.0,7,-122.3907137,37.7619039,8,56
1093539,1,1.0,3.0,18,-122.461224,37.763981,8,56
1093539,2,1.0,5.0,3,-122.461224,37.763981,8,71
1093539,2,9.0,5.0,11,-122.4563239,37.7815735,8,71
1093539,2,1.0,5.0,20,-122.461224,37.763981,8,71
1093539,3,1.0,5.0,3,-122.461224,37.763981,8,76
1095531,1,1.0,5.0,3,-122.426453,37.741154,10,47
1095531,1,22.0,2.0,8,-122.422467,37.7498621,10,47
1095531,1,9.0,1.0,10,-122.02456409999998,37.4160669,10,47
1095531,1,31.0,3.0,12,-122.02496399999998,37.41831,10,47
1095531,1,9.0,3.0,13,-122.02456409999998,37.4160669,10,47
1095531,1,1.0,1.0,19,-122.426453,37.741154,10,47
1095531,1,27.0,3.0,19,-122.4266917,37.7422273,10,47
1095531,1,1.0,3.0,19,-122.426453,37.741154,10,47
1095531,2,1.0,5.0,3,-122.426453,37.741154,10,39
1095531,2,9.0,2.0,9,-122.4007403,37.79045170000001,10,39
1095531,2,22.0,2.0,17,-122.4005064,37.76363170000001,10,39
1095531,2,22.0,2.0,17,-122.422467,37.7498621,10,39
1095531,2,2.0,2.0,18,-122.426453,37.741154,10,39
1095531,3,1.0,5.0,3,-122.426453,37.741154,10,6
1095531,3,17.0,5.0,8,-122.3994136,37.7530274,10,6
1095531,3,20.0,1.0,15,-122.4005064,37.76363170000001,10,6
1095531,3,22.0,2.0,17,-122.422467,37.7498621,10,6
1095531,3,1.0,2.0,18,-122.426453,37.741154,10,6
1095531,4,1.0,5.0,3,-122.426453,37.741154,10,3
1095531,4,17.0,2.0,8,-122.422467,37.7498621,10,3
1095531,4,1.0,2.0,18,-122.426453,37.741154,10,3
1119137,1,39.0,5.0,3,-122.4635808,37.7199117,6,71
1119137,1,17.0,1.0,9,-122.452361,37.726762,6,71
1119137,1,31.0,3.0,14,-122.4565207,37.7239946,6,71
1119137,1,1.0,3.0,16,-122.4635808,37.7199117,6,71
1119137,1,25.0,5.0,20,-122.3930491,37.6030723,6,71
1119137,1,1.0,5.0,24,-122.4635808,37.7199117,6,71
1119137,2,39.0,5.0,3,-122.4635808,37.7199117,6,58
1119137,2,17.0,1.0,10,-122.452361,37.726762,6,58
1119137,2,39.0,3.0,13,-122.4565207,37.7239946,6,58
1119137,2,7.0,3.0,15,-122.4565207,37.7239946,6,58
1119137,2,1.0,3.0,17,-122.4635808,37.7199117,6,58
1119137,2,36.0,5.0,18,-122.506818,37.735569700000006,6,58
1119137,2,1.0,5.0,20,-122.4635808,37.7199117,6,58
1119577,1,1.0,5.0,3,-122.424882,37.769267,3,57
1119577,1,34.0,1.0,7,-122.3932003,37.7932313,3,57
1119577,1,9.0,1.0,9,-122.399325,37.786284,3,57
1119577,1,31.0,3.0,13,-122.40337,37.78773,3,57
1119577,1,9.0,3.0,13,-122.399325,37.786284,3,57
1119577,1,1.0,1.0,17,-122.424882,37.769267,3,57
1119607,1,1.0,5.0,3,-122.40339,37.735355,6,31
1119607,1,9.0,1.0,8,-122.4196075,37.7792524,6,31
1119607,1,2.0,1.0,17,-122.40339,37.735355,6,31
1119607,1,27.0,5.0,18,-122.41001599999998,37.7665106,6,31
1119607,1,2.0,5.0,19,-122.40339,37.735355,6,31
1120220,1,1.0,5.0,3,-122.38858020000002,37.763002,8,29
1120220,1,31.0,3.0,12,-122.3876555,37.75977260000001,8,29
1120220,1,8.0,3.0,13,-122.38858020000002,37.763002,8,29
1120220,2,1.0,5.0,3,-122.38858020000002,37.763002,8,29
1120220,2,9.0,1.0,8,-122.3977374,37.7934,8,29
1120220,2,4.0,1.0,19,-122.38858020000002,37.763002,8,29
1121261,1,1.0,5.0,3,-122.455193,37.709978,6,66
1121261,1,22.0,5.0,7,-122.44465259999998,37.7578395,6,66
1121261,1,1.0,5.0,8,-122.455193,37.709978,6,66
1121261,1,27.0,5.0,9,-122.464064,37.696344,6,66
