SAMPN,PERNO,APURP1,MODE,ARR_HR,XCORD,YCORD,INCOM,AGE
1037952,1,1.0,6.0,3,-122.138775,37.467578,1,57
1037952,1,17.0,3.0,6,-122.144081,37.471522,1,57
1037952,1,1.0,3.0,8,-122.138775,37.467578,1,57
1037952,2,1.0,6.0,3,-122.138775,37.467578,1,17
1050821,1,1.0,6.0,3,-122.204634,37.810293,1,51
1097949,1,1.0,6.0,3,-121.887127,38.010647,1,33
1097949,1,27.0,1.0,13,-122.42015159999998,37.7792505,1,33
1097949,1,39.0,4.0,14,-122.41896909999998,37.7751709,1,33
1097949,1,8.0,1.0,18,-121.887127,38.010647,1,33
1119160,1,1.0,6.0,3,-122.254205,37.768802,1,49
1124362,1,1.0,6.0,3,-122.1428,38.048342,1,57
1126078,1,1.0,6.0,3,-121.7344062,37.9434573,1,61
1126078,1,33.0,5.0,7,-121.736824,37.9614374,1,61
1126078,1,33.0,5.0,7,-121.729205,37.963964,1,61
1126078,1,33.0,5.0,8,-121.697342,37.932191,1,61
1126078,1,33.0,5.0,8,-121.699541,37.947182,1,61
1126078,1,33.0,5.0,9,-121.712345,37.95993,1,61
1126078,1,33.0,5.0,10,-121.7145633,37.94691029999999,1,61
1126078,1,37.0,5.0,10,-121.76063899999998,37.966726,1,61
1126078,1,1.0,5.0,11,-121.7344062,37.9434573,1,61
1126078,2,1.0,6.0,3,-121.7344062,37.9434573,1,11
1126078,2,17.0,1.0,7,-121.737347,37.91912,1,11
1126078,2,1.0,1.0,15,-121.7344062,37.9434573,1,11
1126078,2,17.0,3.0,16,-121.732318,37.944212,1,11
1126078,2,1.0,3.0,17,-121.7344062,37.9434573,1,11
1126078,2,27.0,5.0,17,-121.698394,37.947707,1,11
1126078,2,37.0,5.0,18,-121.689238,37.990174,1,11
1128394,1,1.0,6.0,3,-122.451194,37.666506,1,62
1128394,1,27.0,5.0,9,-122.435545,37.65501,1,62
1128394,1,1.0,5.0,10,-122.451194,37.666506,1,62
1128394,1,22.0,5.0,14,-122.4079815,37.6548151,1,62
1128394,1,22.0,5.0,15,-122.4728108,37.5863615,1,62
1128394,1,1.0,5.0,15,-122.451194,37.666506,1,62
1128394,1,22.0,5.0,16,-122.4728108,37.5863615,1,62
1128394,1,30.0,5.0,16,-122.435545,37.65501,1,62
1128394,1,37.0,5.0,17,-122.4079815,37.6548151,1,62
1128394,1,1.0,5.0,18,-122.451194,37.666506,1,62
1128394,2,1.0,6.0,3,-122.451194,37.666506,1,97
1132119,1,1.0,6.0,3,-122.157135,37.747851,1,25
1132119,1,22.0,5.0,8,-122.230805,37.779451,1,25
1132119,1,20.0,5.0,10,-122.238637,37.784648,1,25
1132119,1,22.0,5.0,11,-122.225486,37.77255,1,25
1132119,1,27.0,5.0,12,-122.17160459999998,37.7460965,1,25
1132119,1,2.0,5.0,12,-122.157135,37.747851,1,25
1132119,1,22.0,5.0,16,-122.225486,37.77255,1,25
1132119,1,22.0,5.0,16,-122.230805,37.779451,1,25
1132119,1,2.0,5.0,17,-122.157135,37.747851,1,25
1132119,2,1.0,6.0,3,-122.157135,37.747851,1,7
1132119,2,17.0,5.0,8,-122.230805,37.779451,1,7
1132119,2,1.0,5.0,17,-122.157135,37.747851,1,7
1132119,3,1.0,6.0,3,-122.157135,37.747851,1,5
1132119,3,22.0,5.0,8,-122.230805,37.779451,1,5
1132119,3,37.0,5.0,10,-122.238637,37.784648,1,5
1132119,3,17.0,5.0,11,-122.225486,37.77255,1,5
