HHID,PERID,AGE,MODE,ARR_HR,XCORD,YCORD
3000128,1,51.0,5.0,1,-73.87007009027985,41.99394050392803
3000128,1,51.0,5.0,9,-73.744898350736,42.01362846871623
3000128,1,51.0,5.0,17,-73.86700115579309,41.99531358719794
3000128,3,19.0,5.0,1,-73.87792669130181,41.99784990354439
3000128,3,19.0,5.0,9,-73.92120095307637,41.72006001673296
3000128,3,19.0,5.0,17,-73.87204775344688,41.99458410067213
3000128,4,7.0,1.0,1,-73.88460091647174,41.997017731515754
3000128,4,7.0,1.0,8,-73.89173197565022,42.0374429687057
3000128,4,7.0,1.0,15,-73.88580162063263,41.992980173812434
3000128,5,7.0,1.0,1,-73.88223160559558,41.98744884609764
3000128,5,7.0,1.0,8,-73.88530327352169,41.977000753220224
3000128,5,7.0,1.0,15,-73.87522791622614,41.99611731314641
3000275,1,70.0,5.0,1,-73.68619877111506,40.672178827577156
3000275,1,70.0,5.0,13,-73.71568745077687,40.651247261520474
3000275,1,70.0,5.0,15,-73.6883663206783,40.66684021803177
3000275,2,70.0,5.0,1,-73.69454055418812,40.66515945300228
3000275,2,70.0,5.0,13,-73.72428636050459,40.65483312981351
3000275,2,70.0,5.0,15,-73.69509492326965,40.66954630029069
3000552,1,70.0,5.0,1,-74.17127804656201,39.96568702223342
3000552,1,70.0,5.0,6,-74.16174171368891,39.992252266062565
3000552,1,70.0,5.0,7,-74.18157902393499,39.967711452614175
3000552,1,70.0,5.0,11,-74.1579408592702,39.95758254801915
3000552,1,70.0,5.0,11,-74.24175910779478,39.99371066038562
3000552,1,70.0,5.0,11,-74.1514890780643,39.963932341083094
3000552,1,70.0,5.0,17,-74.1683983422767,39.97485884369285
3000552,1,70.0,5.0,17,-74.17919439874515,39.97398386600111
3000568,1,31.0,5.0,1,-73.50130818298516,41.42795291311537
3000568,1,31.0,5.0,8,-73.52318979876655,41.432697279162774
3000568,1,31.0,5.0,10,-73.5079546935586,41.41833194581085
3000568,3,7.0,5.0,1,-73.49754119913219,41.4107043959466
3000568,3,7.0,5.0,7,-73.50070908348698,41.42008220948033
3000568,3,7.0,5.0,15,-73.50358237336916,41.42062526100688
3000568,4,7.0,5.0,1,-73.5028503518854,41.422725281355255
3000568,4,7.0,5.0,8,-73.48973593907058,41.430157371669615
3000568,4,7.0,5.0,17,-73.4910873096098,41.42004589757661
3000568,4,7.0,5.0,19,-73.49747460144776,41.417955865746215
3000727,1,51.0,5.0,1,-74.39480221128845,40.68255872927541
3000727,1,51.0,5.0,9,-74.3917658440624,40.714244223761135
3000727,1,51.0,5.0,14,-74.40076553133977,40.67372234781304
3000727,1,51.0,5.0,18,-74.42510360132998,40.68318414049222
3000727,1,51.0,5.0,21,-74.4285755115673,40.66647173939115
3000727,2,7.0,3.0,1,-74.42817331805287,40.669092309409855
3000727,2,7.0,3.0,7,-74.41188637660535,40.66683999703992
3000727,2,7.0,3.0,13,-74.39151869861084,40.68814137516665
3000727,2,7.0,5.0,18,-74.42070503316363,40.65050120777862
3000727,2,7.0,5.0,20,-74.43837382682611,40.639338770698366
3000727,2,7.0,5.0,20,-74.41149647005811,40.67724975668784
3000727,3,7.0,3.0,1,-74.41227790078331,40.67688480239233
3000727,3,7.0,3.0,7,-74.40656876614989,40.67924348140012
3000727,3,7.0,3.0,13,-74.40098936819543,40.67507033794858
3000727,3,7.0,5.0,18,-74.40910749840671,40.64920906871424
3000727,3,7.0,5.0,20,-74.42389710677811,40.65426470912995
3000727,3,7.0,5.0,20,-74.41751190962378,40.68571296450237
3000751,1,51.0,5.0,1,-73.25353514347209,40.71897408867531
3000751,1,51.0,5.0,7,-73.24545742383376,40.740758435890825
3000751,1,51.0,5.0,7,-73.25706203299988,40.71708383907181
3000751,1,51.0,5.0,16,-73.78166870501573,40.795164936700466
3000751,1,51.0,5.0,1,-73.25022834652155,40.723920462445996
3000751,2,51.0,5.0,1,-73.24997716786757,40.71689552164329
3000751,2,51.0,5.0,7,-73.41340540417171,40.8191781666799
3000751,2,51.0,5.0,16,-73.25696418309106,40.717145203352544
3000751,3,7.0,5.0,1,-73.26447727313861,40.731129611542286
3000751,3,7.0,5.0,7,-73.25800843210732,40.74661571822349
3000751,3,7.0,1.0,10,-73.25326488360659,40.72459162813309
3001059,1,70.0,3.0,1,-73.89335887808282,40.86785827390751
3001059,1,70.0,3.0,10,-73.9079334611394,40.847391121345616
3001059,1,70.0,3.0,14,-73.89449708910688,40.866544147516926
3001059,1,70.0,1.0,17,-73.86973515548368,40.86481938430188
3001059,1,70.0,1.0,19,-73.8963894269003,40.86803526759827
3001161,1,56.0,5.0,1,-74.8531066709211,41.052265417891284
3001161,1,56.0,5.0,10,-74.72091790653829,41.20437906776831
3001161,1,56.0,5.0,13,-74.71757987656066,41.1268262397674
3001161,1,56.0,5.0,14,-74.8371825425463,40.779224827763976
3001161,1,56.0,5.0,16,-74.88360437185243,41.06291378435449
3001218,1,31.0,5.0,1,-74.24151306176412,40.069221434005506
3001218,1,31.0,5.0,8,-74.21371850867963,40.08426787663717
3001218,1,31.0,5.0,8,-74.07446694491958,40.228674828102456
3001218,1,31.0,5.0,15,-74.24935458914702,40.067535374041405
3001218,2,51.0,5.0,1,-74.25179735131078,40.0643414504874
3001218,2,51.0,5.0,9,-74.22593576363198,40.063412374421894
3001218,2,51.0,5.0,9,-74.23174070035245,40.05995005383807
3001218,2,51.0,5.0,9,-74.2115986373094,40.08860620098353
3001218,2,51.0,5.0,13,-74.21501212977317,40.10951659599324
3001218,2,51.0,5.0,13,-74.23556515828467,40.098865365917284
3001218,2,51.0,5.0,13,-74.2379561853658,40.064756683890856
3001218,2,51.0,5.0,14,-74.22121484897882,40.06959640724633
3001218,2,51.0,5.0,14,-74.23522131360698,40.07579315013133
3001218,2,51.0,5.0,14,-74.23344870035491,40.05840939619849
3001633,1,56.0,5.0,1,-74.55509470743114,41.20614917936713
3001633,1,56.0,5.0,12,-74.69631588699578,41.040914358037746
3001633,1,56.0,5.0,19,-74.56283323007048,41.19933251376959
3001633,2,51.0,5.0,1,-74.52170356372153,41.19018275767306
3001633,2,51.0,5.0,6,-74.5261576895982,41.04035884604792
3001633,2,51.0,5.0,21,-74.50359800916843,41.19887741002066
3001633,2,51.0,5.0,21,-74.50502893049699,41.21313274680277
3001633,3,17.0,1.0,1,-74.49443209285043,41.21478616087652
3001633,3,17.0,1.0,7,-74.47366735764257,41.247192585502354
3001633,3,17.0,1.0,14,-74.53135399645251,41.20866030148639
3001654,1,70.0,5.0,1,-72.75059151698615,41.40657504770385
3001654,1,70.0,5.0,7,-72.9305760440603,41.34010491568553
3001654,1,70.0,5.0,7,-72.94955563568861,41.330029855430624
3001654,1,70.0,5.0,12,-72.93439630152275,41.34079658955434
3001654,1,70.0,5.0,12,-72.76214989356917,41.39241143175936
3001732,1,51.0,5.0,1,-74.1863282142937,40.77003400559299
3001732,1,51.0,5.0,8,-74.17953860812113,40.73317544754914
3001732,1,51.0,5.0,12,-74.1858774021707,40.77406892607228
3001732,1,51.0,5.0,13,-74.19816411766902,40.791880306041925
3001732,1,51.0,5.0,14,-74.19582292729723,40.80728574710177
3001732,1,51.0,5.0,15,-74.1886101623427,40.76839499577069
3001732,1,51.0,5.0,17,-74.14684397803006,40.79613703259837
3001732,1,51.0,5.0,19,-74.19011518394683,40.76662926464925
3001732,1,51.0,5.0,22,-73.999203070586,40.737449789128775
3001732,1,51.0,5.0,24,-74.18837583871243,40.76671864651549
3001732,2,70.0,5.0,1,-74.18820260237926,40.76515091758127
3001732,2,70.0,5.0,13,-74.1941879682878,40.80734118885417
3001732,2,70.0,5.0,14,-74.19745724948805,40.79350441611734
3001732,2,70.0,5.0,15,-74.18915088187023,40.76881063456792
3001982,1,70.0,5.0,1,-74.01862602852695,40.408334213759204
3001982,1,70.0,5.0,6,-74.17612120852498,40.30574859246124
3001982,1,70.0,5.0,12,-74.04158535214988,40.41346565384036
3001982,1,70.0,5.0,14,-74.07442195849056,40.39628610700909
3001982,1,70.0,5.0,15,-74.02486160913084,40.410743394768964
3001982,1,70.0,5.0,16,-74.04817384596707,40.41415690819696
3002067,1,56.0,5.0,1,-73.01674970814774,41.48268710863733
3002067,1,56.0,5.0,9,-73.10298215259486,41.28085027355471
3002067,1,56.0,5.0,18,-73.02443658340844,41.49229439556598
3002067,2,56.0,5.0,1,-73.04286591223878,41.4684918327311
3002067,2,56.0,5.0,15,-73.08254057675133,41.51365192900738
3002067,2,56.0,5.0,17,-73.04694715220563,41.48806583924824
3002445,1,51.0,3.0,1,-73.97400794358741,40.74542489459542
3002445,1,51.0,3.0,12,-73.98304335785195,40.745712492691034
3002445,1,51.0,3.0,13,-73.9743463430983,40.74555306986279
3002445,1,51.0,3.0,14,-73.97292611594298,40.74635972617368
3002595,1,70.0,5.0,1,-74.04627100327902,40.94149705700213
3002595,1,70.0,5.0,11,-74.04844778736958,40.99213358056561
3002595,1,70.0,5.0,14,-74.02268942163482,40.99210709957383
3002595,1,70.0,5.0,15,-74.05304124697726,40.93464513267735
3002595,2,70.0,5.0,1,-74.05137724247837,40.92328319352028
3002595,2,70.0,5.0,11,-74.04988553065219,40.99714723196534
3002595,2,70.0,5.0,11,-74.07220018132595,41.0021832130589
3002595,2,70.0,5.0,11,-74.04776671505884,40.99565171879711
3002595,2,70.0,5.0,14,-74.02938678314159,40.988979063870055
3002595,2,70.0,5.0,15,-74.0497057756064,40.93115225848985
3003130,1,51.0,5.0,1,-74.1289240813969,40.88007426644125
3003130,1,51.0,5.0,7,-74.13921640284774,40.881867361168794
3003130,1,51.0,5.0,8,-74.14501964512566,40.85629326520306
3003130,1,51.0,5.0,8,-74.1319696015868,40.83660771208779
